Identificador de URL,Nombre,Categorías,Nombre de propiedad 1,Valor de propiedad 1,Nombre de propiedad 2,Valor de propiedad 2,Nombre de propiedad 3,Valor de propiedad 3,Precio,Precio promocional,Peso (kg),Alto (cm),Ancho (cm),Profundidad (cm),Stock,SKU,Código de barras,Mostrar en tienda,Envío sin cargo,Descripción,Tags,Título para SEO,Descripción para SEO,Marca,Producto Físico,MPN (Número de pieza del fabricante),Sexo,Rango de edad,Costo
remeron-luna-y-sol-art7533,Remeron luna y sol ART7533,Remeras y Musculosas,,,,,,,"32,000.00",,0.25,1,1,1,0,123456775332,,SI,NO,,,Remeron Luna y Sol ART7533 - Talles Grandes y Confort,"Explora el Remeron Luna y Sol ART7533, diseñado en modal de calidad, con talles reales y especiales. Ideal para todas las figuras. ¡Compra y destaca tu estilo!",,SI,,,,
remera-tipo-tejido-natural-art7532,Remera tipo tejido Natural ART7532,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,0,12345677532,,SI,NO,,,,,,SI,,,,
remeron-tipo-tejido-suela-art7531,Remeron tipo tejido suela ART7531,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,0,12345677531,,SI,NO,,,Remeron tejido suela ART7531 - Talles Grandes y Comodidad,"Descubre el Remeron tejido suela ART7531, con talles grandes y reales, ideal para cualquier ocasión. ¡Añádelo a tu guardarropa y disfruta de su estilo! Stock limitado.",,SI,,,,
remeron-tipo-tejido-blanco-art7530,Remeron tipo tejido blanco ART7530,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,2,12345677530,,SI,NO,,,Remeron tipo tejido blanco ART7530 | Talles reales y confort,"Conoce el Remeron tipo tejido blanco ART7530, disponible en talles grandes y reales. ¡Añádelo a tu guardarropa y disfruta de su comodidad única!",,SI,,,,
remeron-tipo-tejido-negro-art7529,Remeron tipo tejido negro ART7529,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,0,123456775292,,NO,NO,,,Remeron Tejido Negro ART7529 - Talles Grandes y Comodidad,"Descubre el Remeron Tejido Negro ART7529, cómodo y versátil en talles reales y especiales. Ideal para cualquier ocasión. ¡Cómpralo antes de que se agote!",,SI,,,,
remeron-tipo-tejido-celeste-art7528,Remeron tipo tejido celeste ART7528,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,0,123456775282,,SI,NO,,,Remeron tipo tejido celeste ART7528 - Talles Grandes y Cómodos,"Confeccionado en tejido celeste, el Remeron ART7528 ofrece talles grandes y reales. Perfecto para cualquier ocasión. ¡Haz tu compra antes de que se agote!",,SI,,,,
buzo-tipo-canguro-azul-art7527,Buzo tipo canguro azul ART7527,Sweaters y Buzos,,,,,,,"32,000.00",,0.25,1,1,1,2,123456775272,,SI,NO,,,,,,SI,,,,
remeron-escote-v-morley-cebra-evase-art7520,Remeron Escote V Morley Cebra Evase ART7520,Remeras y Musculosas,Talle,12,,,,,"25,500.00",,0.25,1,1,1,0,123456775202,,NO,NO,,,Remeron Escote V Morley Cebra ART7520 - Talles Especiales,"Descubre el Remeron Escote V Morley Cebra ART7520, cómodo y versátil para talles reales. Ideal para cualquier ocasión. ¡Consíguelo antes de que se agote!",,SI,,,,
remeron-escote-v-morley-cebra-evase-art7520,,,Talle,14,,,,,"25,500.00",,0.25,1,1,1,0,123456775202,,,,,,,,,,,,,
remera-over-negra-great-art7519,Remera over negra Great ART7519,Remeras y Musculosas,Talle,12,,,,,"28,000.00",,0.25,1,1,1,1,123456775192,,SI,NO,,,Remera Over Negra Great ART7519 - Talles Grandes y Comodidad,"Renueva tu estilo con la Remera Over Negra Great ART7519. Disponible en talles grandes y reales, disfruta de su suave tela y elegancia. ¡Compra ahora!",,SI,,,,
remeron-serpentina-chicle-art7518,Remeron serpentina Chicle ART7518,Remeras y Musculosas,,,,,,,"30,000.00",,0.25,1,1,1,0,123456775182,,NO,NO,,,Remeron Serpentina Chicle ART7518 para Talles Grandes,El remerón Serpentina Chicle ART7518 en modal suave es perfecto para talles grandes y reales. ¡Consigue el tuyo y disfruta de su comodidad y estilo!,,SI,,,,
remera-devore-azul-noche-art7517,Remera devore azul noche ART7517,Remeras y Musculosas,,,,,,,"18,000.00",,0.25,1,1,1,0,123456775172,,NO,NO,,,,,,SI,,,,
remera-devore-turquesa-art7516,Remera devore turquesa ART7516,Remeras y Musculosas,Talle,10,,,,,"18,000.00",,0.25,1,1,1,0,123456775162,,NO,NO,,,,,,SI,,,,
remera-devore-turquesa-art7516,,,Talle,12,,,,,"18,000.00",,0.25,1,1,1,0,123456775163,,,,,,,,,,,,,
musculosa-morley-evase-azul-noche-art7515,Musculosa morley evase Azul noche ART7515,Remeras y Musculosas,Talle,8,,,,,"28,500.00",,0.25,1,1,1,0,123456775152,,NO,NO,,,,,,SI,,,,
musculosa-morley-evase-azul-noche-art7515,,,Talle,10,,,,,"28,500.00",,0.25,1,1,1,0,123456775153,,,,,,,,,,,,,
musculosa-morley-evase-azul-noche-art7515,,,Talle,12,,,,,"28,500.00",,0.25,1,1,1,0,123456775154,,,,,,,,,,,,,
musculosa-morley-evase-roja-art7514,Musculosa morley evase Roja ART7514,Remeras y Musculosas,Talle,8,,,,,"28,500.00",,0.25,1,1,1,0,123456775142,,NO,NO,,,,,,SI,,,,
musculosa-morley-evase-roja-art7514,,,Talle,10,,,,,"28,500.00",,0.25,1,1,1,2,123456775143,,,,,,,,,,,,,
musculosa-morley-evase-roja-art7514,,,Talle,12,,,,,"28,500.00",,0.25,1,1,1,0,123456775144,,,,,,,,,,,,,
vestido-artesanal-talle-14-16-molderia-grande-art7513,Vestido artesanal Talle 14/16 Molderia Grande ART7513,Vestidos y Monitos,,,,,,,"70,000.00",,0.25,1,1,1,0,123456775132,,NO,NO,,,,,,SI,,,,
blusa-seda-acuarela-art7512,Blusa seda Acuarela ART7512,Blusas y Tunicas,,,,,,,"32,000.00",,0.25,1,1,1,0,123456775122,,NO,NO,,,,,,SI,,,,
bermuda-modal-azul-claro-art7511,Bermuda modal azul claro ART7511,Pantalones y Calzas,Talle,8,,,,,"21,000.00",,0.25,1,1,1,0,123456775103,,NO,NO,,,,,,SI,,,,
bermuda-modal-azul-claro-art7511,,,Talle,10,,,,,"21,000.00",,0.25,1,1,1,0,123456775104,,,,,,,,,,,,,
bermuda-modal-roja-art7510,Bermuda modal roja ART7510,Pantalones y Calzas,Talle,8,,,,,"21,000.00","7,000.00",0.25,1,1,1,0,123456775102,,NO,NO,,,,,,SI,,,,
bermuda-modal-roja-art7510,,,Talle,10,,,,,"21,000.00",,0.25,1,1,1,0,123456775102,,,,,,,,,,,,,
blusa-gasa-flores-beige-y-rosa-art7509,Blusa Gasa flores beige y rosa ART7509,Blusas y Tunicas,,,,,,,"32,000.00",,0.25,1,1,1,0,123456775092,,NO,NO,,,,,,SI,,,,
tunica-poncho-fibrana-hojas-art7508,Tunica poncho fibrana hojas ART7508,Blusas y Tunicas,,,,,,,"25,500.00",,0.25,1,1,1,0,123456775082,,NO,NO,,,Túnica Poncho Fibrana Hojas - Talles Especiales y Elegantes,"Disfruta de la Túnica Poncho de fibrana, ideal para talles reales y grandes. Con un diseño fresco y cómodo, ¡asegura la tuya antes de que se agote!",,SI,,,,
tunica-poncho-fibrana-celeste-art7507,Tunica poncho fibrana celeste ART7507,Blusas y Tunicas,,,,,,,"25,500.00",,0.25,1,1,1,0,123456775072,,NO,NO,,,Túnica Poncho Fibrana Celeste - Talles Especiales y Elegantes,"Prueba la Túnica Poncho Fibrana Celeste, diseñada con talles reales y especiales del 10 al 14. Su corte suelto ofrece frescura y estilo. ¡Compra ya!",,SI,,,,
blusa-poncho-gasa-bulgari-art7506,Blusa poncho gasa bulgari ART7506,Blusas y Tunicas,,,,,,,"32,000.00",,0.25,1,1,1,0,123456775062,,NO,NO,,,Blusa Poncho Gasa Bulgaria ART7506 - Talles Especiales,"La Blusa Poncho Gasa Bulgaria ART7506 es perfecta para el verano, disponible en talles reales 10 al 14. ¡Compra ahora y realza tu figura con estilo!",,SI,,,,
tunica-poncho-gasa-blaco-y-negro-art7505,Tunica poncho gasa blaco y negro ART7505,Blusas y Tunicas,,,,,,,"32,000.00",,0.25,1,1,1,0,123456775052,,NO,NO,,,Túnica Poncho de Gasa Blanco y Negro - Talles Especiales ART7505,"Explora la Túnica Poncho de Gasa, fresca y cómoda, disponible en talles reales y especiales. ¡Perfecta para el verano! Compra y realza tu figura.",,SI,,,,
vestido-artesanal-bordado-art7504,Vestido artesanal Bordado Art7504,Vestidos y Monitos,,,,,,,"60,000.00",,0.25,1,1,1,0,123456775042,,NO,NO,,,,,,SI,,,,
remeron-serpentina-fucsia-art7503,Remeron serpentina fucsia ART7503,Remeras y Musculosas,,,,,,,"30,000.00",,0.25,1,1,1,0,123456775032,,SI,NO,,,,,,SI,,,,
vestido-tunica-fibrana-art-7502,vestido tunica fibrana Art 7502,Vestidos y Monitos,,,,,,,"42,000.00",,0.25,1,1,1,0,123456775022,,NO,NO,,,Vestido Túnica Fibrana Art 7502 - Elegancia Floral,"Descubre el vestido túnica Fibrana Art 7502, con estampado floral y corte fluido, perfecto para cualquier ocasión. ¡Compra ahora y destaca tu estilo!",,SI,,,,
vestdo-tunica-simil-jeans-verde-art-7501,vestdo tunica simil jeans verde Art 7501,Vestidos y Monitos,,,,,,,"70,000.00",,0.25,1,1,1,0,123456775012,,NO,NO,,,Vestido Túnica Simil Jeans Verde con Estampado Floral,Descubre el vestido túnica simil jeans verde Art 7501. Elegancia y frescura con estampado floral. ¡Compra ahora y deslumbra con tu estilo!,,SI,,,,
vestdo-tunica-simil-jeans-azul-art-7500,vestdo tunica simil jeans azul Art 7500,Vestidos y Monitos,,,,,,,"60,000.00",,0.25,1,1,1,0,123456775002,,NO,NO,,,Vestido Túnica Simil Jeans Azul Art 7500 con Estampado Floral,"Descubre el vestido túnica simil jeans azul Art 7500, elegante y cómodo. Perfecto para cualquier ocasión. ¡Compra ahora y destaca tu estilo!",,SI,,,,
remeron-circulos-negro-art-7499,Remeron circulos negro Art.7499,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,0,123456774992,,SI,NO,,,Remerón Circulos Negro Art.7499 - Estilo y Comodidad,"Descubre el remerón Circulos Negro, confeccionado en modal de alta calidad. ¡Compra ahora y eleva tu estilo con comodidad y elegancia!",,SI,,,,
remeron-circulos-marron-art7498,Remeron circulos marron ART7498,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,0,123456774982,,NO,NO,,,Remerón Circulos Marrón Art.7498 - Elegancia y Comodidad,"Descubre el remerón Circulos Marrón, confeccionado en modal suave. Talle único, ideal para cualquier silueta. ¡Compra ahora y eleva tu estilo!",,SI,,,,
remeron-camu-beige-art7497,Remeron camu beige ART7497,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,1,123456774972,,SI,NO,,,Remeron Camu Beige Art.7497 - Elegancia y Comodidad,"Descubre el remerón Camu beige, confeccionado en modal de alta calidad. Talle único para un ajuste perfecto. ¡Compra ahora y renueva tu estilo!",,SI,,,,
remeron-camu-mostaza-art7496,Remeron camu mostaza ART7496,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,1,123456774962,,NO,NO,,,Remeron Camu Mostaza Art7496 - Elegancia y Comodidad,"Descubre el remerón camu mostaza Art7496, confeccionado en modal premium. ¡Compra ahora y eleva tu estilo con comodidad única!",,SI,,,,
remeron-camu-negro-art7495,Remeron camu negro ART7495,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,3,,,SI,NO,,,Remerón Camu Negro Art7495 - Talles Grandes y Elegantes,"Descubre el remerón Camu Negro Art7495 en modal de alta calidad. Ideal para talles grandes, ¡compra ahora y eleva tu estilo con comodidad!",,SI,,,,
remeron-camu-gris-claro-fondo-art7494,Remeron camu gris claro fondo Art7494,Remeras y Musculosas,,,,,,,"28,000.00",,0.25,1,1,1,0,123456774942,,NO,NO,,,Remerón Camu Gris Claro de Modal - Estilo y Comodidad,"Descubre el remerón Camu gris claro, confeccionado en modal de alta calidad. Ideal para cualquier silueta. ¡Compra ahora y renueva tu guardarropa!",,SI,,,,
vestido-artesanal-autoctono-art7493,Vestido artesanal autóctono Art7493,Vestidos y Monitos,,,,,,,"60,000.00",,0.25,1,1,1,0,123456774932,,NO,NO,,,,,,SI,,,,
vestido-artesanal-verde-colibri-art7492,Vestido artesanal verde COLIBRI Art7492,Vestidos y Monitos,,,,,,,"60,000.00",,0.25,1,1,1,0,123456774922,,NO,NO,,,,,,SI,,,,
remera-escote-v-celeste-real-art7491,Remera escote v celeste real ART7491,Remeras y Musculosas,,,,,,,"24,000.00",,0.25,1,1,1,0,123456774912,,NO,NO,,,Remera escote V celeste real ART7491: Estilo y Confort,"Descubre la remera escote V celeste real ART7491, cómoda y versátil. Ideal para cualquier ocasión. ¡Compra ahora y no te quedes sin la tuya!",,SI,,,,
remera-escote-v-celeste-art7490,Remera escote v celeste ART7490,Remeras y Musculosas,,,,,,,"24,000.00",,0.25,1,1,1,0,123456774902,,NO,NO,,,Remera escote V celeste ART7490 - Estilo y comodidad,"Descubre la remera escote V celeste ART7490, perfecta para cualquier ocasión. ¡Haz tu pedido ahora y disfruta de su estilo versátil y comodidad!",,SI,,,,
